YEAR,MONTH,DAY,HOUR,MINUTE,LATITUDE,LONGITUDE,LOCATION_NAME,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY
-330,,,,,40,25,"E. SPORADES ISLANDS, AEGEAN ISLANDS",GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,7,,
859,,,,,36.08,36.25,SAMANDAGI,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,,,3
1580,1,,,,40,128,YELLOW SEA,NORTH KOREA,"China, North and South Korea, Philippines, Taiwan",Unknown,Very Doubtful Tsunami,,,1
-1300,,,,,39.96,26.24,"IONIAN COASTS, TROAD",TURKEY,Mediterranean Sea,Unknown,Questionable Tsunami,6,,5
1556,10,21,,,37,126,YELLOW SEA,SOUTH KOREA,"China, North and South Korea, Philippines, Taiwan",Unknown,Very Doubtful Tsunami,,,0.5
1747,3,,,,33.1,139.8,"IZU PENINSULA, HACHIJO ISLAND",JAPAN,Japan,Unknown,Questionable Tsunami,,,0.5
1704,,,,,33.6,136,"TAIJI, KII",JAPAN,Japan,Unknown,Questionable Tsunami,,,1
975,10,26,,,41.04,28.98,"MARMARA SEA, STRAIT OF BOSPORUS",TURKEY,Mediterranean Sea,Unknown,Questionable Tsunami,,,3
1407,8,23,,,38,125.7,"HAEJU COAST, YELLOW SEA",NORTH KOREA,"China, North and South Korea, Philippines, Taiwan",Unknown,Very Doubtful Tsunami,,,0
1650,9,29,,,36.404,25.396,THERA ISLAND (SANTORINI),GREECE,Mediterranean Sea,Volcano and Landslide,Definite Tsunami,6.3,,6
792,4,30,,,45.5,11,GULF OF VENICE,ITALY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,3
1676,,,,,38.733,-27.066,AZORES,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Very Doubtful Tsunami,,,1
1519,9,24,,,36.3,126,"CHUNGCHONG PROVINCE, YELLOW SEA",SOUTH KOREA,"China, North and South Korea, Philippines, Taiwan",Unknown,Very Doubtful Tsunami,,,0
1434,8,6,,,37.5,126,"INCHON, CHEMULPO BAY, YELLOW SEA",SOUTH KOREA,"China, North and South Korea, Philippines, Taiwan",Unknown,Very Doubtful Tsunami,,,0.5
46,,,,,36.404,25.396,THERA ISLAND (SANTORINI),GREECE,Mediterranean Sea,Volcano,Definite Tsunami,6.2,,3
1636,7,31,,,35.1,129.05,E. CHINA SEA-S.JAPAN,EAST CHINA SEA,"China, North and South Korea, Philippines, Taiwan",Unknown,Very Doubtful Tsunami,,,0
1732,11,,,,39.5,20,ISLAND OF KERKYRA (CORFU),GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,,,2
551,4,,,,38.4,22.3,ETOLIA,GREECE,Mediterranean Sea,Earthquake and Landslide,Definite Tsunami,7.1,,4
315,,,,,31.7,35.5,DEAD SEA,DEAD SEA,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,3
-1365,,,,,35.683,35.8,SYRIAN COASTS,SYRIA,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,6
1722,10,,,,-6.174,106.829,"DJAKARTA (JAKARTA), JAVA",INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Very Doubtful Tsunami,,,0
1770,,,,,-5,102,SW. SUMATRA,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,7,,0.5
1667,11,30,,,38.4,27.1,IZMIR,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,6.6,,2
1039,2,2,,,38.4,27.3,CONSTANTINOPLE,TURKEY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,6.8,,
1273,9,,,,41.3,19.7,ALBANIAN COASTS,ALBANIA,Mediterranean Sea,Earthquake,Questionable Tsunami,6.5,,3
-525,,,,,33.56,35.37,LEBANON COASTS,LEBANON,Mediterranean Sea,Earthquake,Questionable Tsunami,,,3
-590,,,,,33.27,35.22,LEBANON COASTS,LEBANON,Mediterranean Sea,Earthquake,Questionable Tsunami,,,6
863,7,10,,,37.1,138,NW. HONSHU ISLAND,JAPAN,Japan,Earthquake and Landslide,Definite Tsunami,7,,2
1761,3,31,12,1,34.5,-13,SW PORTUGAL,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Probable Tsunami,8.5,,2
1715,12,29,,,33.3,131.7,SEIKAIDO,JAPAN,Japan,Earthquake,Definite Tsunami,6.6,,
1498,7,9,,,34.4,137.7,ENSHUNADA,JAPAN,Japan,Earthquake,Questionable Tsunami,6.4,,
1757,8,24,,,-6,107,JAKARTA,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,7.5,,-0.5
1659,11,11,,,-6.92,129.125,BANDA SEA,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Volcano,Questionable Tsunami,,,0
